185135,Sherlock - A Study in Pink (2010),Crime
147328,The Adventures of Sherlock Holmes and Dr. Watson: Bloody Signature (1979),Crime
160684,Marauders (2016),Action
58627,Never Back Down (2008),Action
136912,God Loves Caviar (2012),Adventure
4988,White Water Summer (1987),Adventure
166568,Miss Sloane (2016),Thriller
112940,A Most Wanted Man (2014),Thriller
128695,The Dark Valley (2014),Western
61986,Appaloosa (2008),Western
82041,"Loved Ones, The (2009)",Horror
54785,Halloween (2007),Horror
155774,Neon Bull (2015),Adventure
136912,God Loves Caviar (2012),Adventure
153236,Genius Party (2007),Animation
117545,Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),Animation
77795,Cargo (2009),Sci-Fi
3354,Mission to Mars (2000),Sci-Fi
102686,"Hangover Part III, The (2013)",Comedy
49735,Another Gay Movie (2006),Comedy
164753,Anything for Love (2016),Romance
149380,'Tis the Season for Love (2015),Romance
110882,Locke (2013),Drama
5221,Harrison's Flowers (2000),Drama
89492,Moneyball (2011),Drama
89580,Neds (2010),Drama
90890,Jack and Jill (2011),Comedy
159849,Bo Burnham: Make Happy (2016),Comedy
160438,Jason Bourne (2016),Action
161131,War Dogs (2016),Comedy
89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX
122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi
122912,Avengers: Infinity War - Part I (2018),Action|Adventure|Sci-Fi
88140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War
110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX
122920,Captain America: Civil War (2016),Action|Sci-Fi|Thriller
59315,Iron Man (2008),Action|Adventure|Sci-Fi
77561,Iron Man 2 (2010),Action|Adventure|Sci-Fi|Thriller|IMAX
102125,Iron Man 3 (2013),Action|Sci-Fi|Thriller|IMAX
122916,Thor: Ragnarok (2017),Action|Adventure|Sci-Fi
122922,Doctor Strange (2016),Action|Adventure|Sci-Fi
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
52722,Spider-Man 3 (2007),Action|Adventure|Sci-Fi|Thriller|IMAX
110553,The Amazing Spider-Man 2 (2014),Action|Sci-Fi|IMAX
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
2628,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
5378,Star Wars: Episode II - Attack of the Clones (2002),Action|Adventure|Sci-Fi|IMAX
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
